"kode_listing","title","kabupaten","kecamatan","luas_tanah","harga_tersimpan_SALAH","per_m2_tersimpan_SALAH","jika_x100","jika_x1000","HARGA_BENAR_ISI_DISINI"
"SBP-20260608-335","Turun Harga Jadi 4,9 Juta/m?! SHMP 2.774m? Strategis Pinggir Jalan Aspal di Condongcatur","Kabupaten Sleman","Depok","27742","4900000","177","490000000","4900000000",""
"SBP-20260608-207","Tanah 2 Hektar Strategis di Barat Casa Grande, Ringroad Utara, Sleman","Kabupaten Sleman","Depok","21000","4800000","229","480000000","4800000000",""
"SBP-20260608-246","Lahan Istimewa 2HA di Mojolaban, Sukoharjo ? Cocok untuk Perumahan Minimalis, Harga Terjangkau!","Kabupaten Sleman","Depok","20000","1100000","55","110000000","1100000000",""
"SBP-20260608-491","Lahan Prospektif Zona Industri Klaten - Tanah 1,3 Ha Dekat Exit Toll","Kabupaten Sleman","Depok","13000","1700000","131","170000000","1700000000",""
"SBP-20260608-174","Lahan Spesial 7.100m2 di Jl Kaliurang Km 12, Klidon, Dekat Kampus UII","Kabupaten Sleman","Depok","7100","2500000","352","250000000","2500000000",""
"SBP-20260608-440","Tanah Luas 7000m Zona Industri/Gudang Dekat SGM Prambanan, Jl Raya Jogja-Solo","Kabupaten Sleman","Depok","7000","1500000","214","150000000","1500000000",""
"SBP-20260608-139","SHMP 3300m? ld 24m Hoek Pinggir Jalan Utama Jogja-Solo, Dekat Prambanan - Bonus Rumah Joglo","Kabupaten Sleman","Depok","3300","6500000","1970","650000000","6500000000",""
"SBP-20260608-118","Tanah SHM Pekarangan 2.852m? Strategis Dekat Ring Road & UGM - Kesempatan Emas Investasi!","Kabupaten Sleman","Depok","2852","7500000","2630","750000000","7500000000",""
"SBP-20260608-456","Tanah Pekarangan 2 Muka 2302m? di Pinggir Jalan Raya Tajem, Dekat Jogja Bay, Maguwo","Kabupaten Sleman","Depok","2302","8500000","3692","850000000","8500000000",""
"SBP-20260608-317","SHMP 2000m? Pinggir Jalan Utama Seturan Raya Bonus 50 Kamar Kost","Kabupaten Sleman","Depok","2000","17000000","8500","1700000000","17000000000",""
"SBP-20260608-495","Tanah Strategis 1974m? Dekat Fakultas Teknik UII ? Cocok untuk Kost Eksklusif","Kabupaten Sleman","Ngemplak","1974","2900000","1469","290000000","2900000000",""
"SBP-20260608-334","Tanah SHMP 1930m? Strategis, Ideal untuk Hotel, Dekat Malioboro, Stasiun Tugu, Tugu","Kabupaten Sleman","Depok","1930","16000000","8290","1600000000","16000000000",""
"SBP-20260608-304","Jual Cepat SHMP 1873m2 dekat UGM & UNY + Bonus Kost Strategis","Kabupaten Sleman","Depok","1873","14000000","7475","1400000000","14000000000",""
"SBP-20260608-181","SHMP 1642m? Seturan dalam Ringroad, dekat UGM - Harga Terbaik, Area Eksklusif Kost & Apartemen","Kabupaten Sleman","Depok","1642","6500000","3959","650000000","6500000000",""
"SBP-20260608-515","Tanah Strategis HOEK 2 Muka Barat UGM - Jl. Jambon, Yogyakarta - Lokasi Premium, Harga Menarik!","Kabupaten Sleman","Gamping","1555","4500000","2894","450000000","4500000000",""
"SBP-20260608-390","Tanah SHMP Pinggir Jalan Raya Timoho Dekat Balaikota, 1434m?, Hoek","Kabupaten Sleman","Depok","1434","12000000","8368","1200000000","12000000000",""
"SBP-20260608-213","SHMP 1172m?, Pinggir Jalan Perumnas Seturan, Lokasi Strategis untuk Kost Eksklusif","Kabupaten Sleman","Depok","1172","8500000","7253","850000000","8500000000",""
"SBP-20260608-066","Tanah Premium Luas 1.170 m? di Seturan Dekat UPN - Investasi Ideal untuk Kost Eksklusif","Kabupaten Sleman","Depok","1170","7000000","5983","700000000","7000000000",""
"SBP-20260608-225","Tanah Strategis + Bonus Bangunan di Pinggir Jalan Kaliurang, Dekat UGM, Hoek 2 Muka - Harga Turun!","Kabupaten Sleman","Depok","1119","35000000","31278","3500000000","35000000000",""
"SBP-20260608-353","Tanah Bonus Bangunan Strategis Pinggir Jalan Lebar Purwomartani","Kabupaten Sleman","Depok","1044","10000000","9579","1000000000","10000000000",""
"SBP-20260608-081","Tanah SHM 861 m? & PBG Kost 60 Kamar di Condongcatur, Sleman ? Dekat Kampus & Terminal","Kabupaten Sleman","Depok","861","6000000","6969","600000000","6000000000",""
"SBP-20260608-108","Tanah Luas 18x38 Seturan, Dekat UPN dan Ambarukmo Plaza, Cocok untuk Kost Eksklusif","Kabupaten Sleman","Depok","684","8500000","12427","850000000","8500000000",""
"SBP-20260608-445","SHMP 662m?, Pinggir Jalan Utama Colombo Dekat UNY, Gejayan, UGM, Sadhar, & Affandi","Kabupaten Sleman","Depok","662","27000000","40785","2700000000","27000000000",""
"SBP-20260608-060","Tanah SHMP 527m? Lebar Depan 20m Dekat UPN, Ideal untuk Kost Eksklusif","Kabupaten Sleman","Depok","527","4500000","8539","450000000","4500000000",""
"SBP-20260608-196","Lahan Strategis SHMP 500m? - Akses Jalan Lebar Seturan dalam Ringroad Dekat UPN","Kabupaten Sleman","Depok","500","8000000","16000","800000000","8000000000",""
"SBP-20260608-472","Tanah Premium Strategis Dekat UPN, UNY, UGM, AMIKOM, dan Hartono Mall - Investasi Terbaik!","Kabupaten Sleman","Depok","493","12500000","25355","1250000000","12500000000",""
"SBP-20260608-199","SHMP 472m? Mangku Jalan Dekat UNRIYO, Jogja Bay, Stadion Maguwo ? Cocok untuk Investasi & Hunian","Kabupaten Sleman","Depok","472","3800000","8051","380000000","3800000000",""
"SBP-20260608-137","Tanah Premium 431 m? di Seturan, Dekat UPN ? Investasi Kost Eksklusif yang Menguntungkan!","Kabupaten Sleman","Depok","431","8500000","19722","850000000","8500000000",""
"SBP-20260608-344","Lahan Strategis 401m? Cocok untuk Kost Eksklusif di Jl. Kaliurang Km 7 Dekat UGM","Kabupaten Sleman","Depok","401","4900000","12219","490000000","4900000000",""
"SBP-20260608-421","Tanah Hook SHMP 379m? Pinggir Jalan Aspal Palagan Km 7, Dekat UGM & Fasum","Kabupaten Sleman","Depok","379","6500000","17150","650000000","6500000000",""
"SBP-20260608-138","Tanah Strategis SHMP 368m? di Jongke Belakang Hyatt, Jalan Palagan Km 7, Dekat UGM","Kabupaten Sleman","Depok","368","6200000","16848","620000000","6200000000",""
"SBP-20260608-461","Lahan Strategis di Seturan, Bonus Kost dan Rumah Induk","Kabupaten Sleman","Depok","363","2300000","6336","230000000","2300000000",""
"SBP-20260608-261","Tanah Strategis di Jl Kaliurang Km 14 Dekat UII","Kabupaten Sleman","Depok","326","3700000","11350","370000000","3700000000",""
"SBP-20260608-267","Tanah 317m? di Kawasan Strategis Karangwuni, Yogyakarta ? Cocok untuk Investasi Kost Eksklusif","Kabupaten Sleman","Depok","317","9800000","30915","980000000","9800000000",""
"SBP-20260608-219","Tanah Premium 304m? di Pogung, Dekat UGM ? Harga Terjangkau, Investasi Kost Eksklusif yang Menjanjikan!","Kabupaten Sleman","Depok","304","9500000","31250","950000000","9500000000",""
"SBP-20260608-130","SHMP 279m? Tanah Ideal untuk Kost Eksklusif, Timur UPN Seturan dalam Ringroad","Kabupaten Sleman","Depok","279","6500000","23297","650000000","6500000000",""
"SBP-20260608-448","SHMP 222m? Tanah di Pogung, Cocok Kost Exclusive, Dekat UGM & Ringroad","Kabupaten Sleman","Depok","222","10000000","45045","1000000000","10000000000",""
"SBP-20260608-393","Tanah SHM 179m? Pinggir Jalan Utama Seturan-Kledokan, Dekat UPN - Peluang Investasi Menjanjikan!","Kabupaten Sleman","Depok","179","16500000","92179","1650000000","16500000000",""
"SBP-20260608-258","Tanah Premium 150m? di Pogung ? Dekat UGM, Investasi Kost Eksklusif yang Menguntungkan!","Kabupaten Sleman","Depok","150","9500000","63333","950000000","9500000000",""
